"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsHA"
"TENM1",0.0301424074143007,-2.26776031995308,2.38762760131405e-56,5.62429400263567,"Not DE"
"PAX7",NA,0.723049466781806,NA,NA,"Not DE"
"MASP2",0.731970594377376,-0.711447759707115,NA,-1.12014598750709,"Not DE"
"IYD",0.558853481581028,-0.442464866157315,0.858057700302423,0.28182951035902,"Not DE"
"FAM76A",0.117894967791464,-0.432961630353961,0.661780311901555,-0.179925687046723,"Not DE"
"TRAF3IP3",NA,-1.21703748239371,NA,-1.06394174698844,"Not DE"
"POMT2",0.0222544556262666,-0.25097937318534,0.868615956796592,0.0520997831786808,"DE (down) in MLH1"
"VTA1",0.0633587203508706,-0.21525442083671,0.139680932585742,-0.210972091252204,"Not DE"
"MLXIPL",0.350264083003081,0.4547535748063,0.665108436411476,0.367988451153637,"Not DE"
"BAZ1B",1.43389515295087e-83,1.2918875196137,0.998790612097528,-0.00039838491601239,"DE (up) in MLH1"
"RANBP9",0.637528398296957,-0.0651783963894027,0.0326893549997031,-0.318524141771001,"DE (down) in MSH2"
"ETV7",0.244551016019634,-1.88927765157926,0.907521175707521,-0.401109226143409,"Not DE"
"SPRTN",0.000211584756813353,0.40820879653378,0.845588694181878,-0.0613911555741374,"DE (up) in MLH1"
"METTL13",0.0260717332557253,-0.251366730292305,0.977540279088662,0.0102300506889894,"DE (down) in MLH1"
"DYRK4",0.443760223351162,-0.205274992151358,0.702679942987637,-0.142041133205135,"Not DE"
"ZNF207",0.680560147526134,-0.0546252107788804,0.958136396610645,0.0178034414365388,"Not DE"
"UQCRC1",0.787402552464482,-0.0528208474976817,0.706760939828478,0.0613722380504947,"Not DE"
"STARD3NL",0.46643089590979,-0.0934852541389738,0.34760114960615,-0.147976092870607,"Not DE"
"CD9",1.75855073460898e-13,0.522786073679871,0.000270863407916679,0.348241734626402,"DE (up) in both"
"HHATL",NA,3.63440527692956,NA,NA,"Not DE"
"NCAPD2",0.00807661018073131,0.191963296818669,0.808563062724148,0.0452039172436631,"DE (up) in MLH1"
"IFFO1",0.0061840506712145,-0.866607619770077,0.501617948395171,-0.401565897062875,"DE (down) in MLH1"
"GIPR",7.24870172258686e-05,1.95440672918281,0.746430289677083,-0.58546157296098,"DE (up) in MLH1"
"PHF7",0.00380254972820992,0.596906826447607,0.384968789683557,-0.344707254900644,"DE (up) in MLH1"
"SEMA3G",0.0188123709569219,2.44118312394963,0.0538136110252252,1.92513887929783,"DE (up) in MLH1"
"NISCH",3.15537567916139e-06,0.364329181282659,0.823917851991553,0.0674835111167418,"DE (up) in MLH1"
"STAB1",0.311790434295309,-3.82735091913498,NA,0.455217954663405,"Not DE"
"FUZ",0.00629500625271733,-1.36458032937458,0.59953837859444,-0.419717352858757,"DE (down) in MLH1"
"SLC6A13",0.791306945234913,0.762161365291459,NA,0.433772247875235,"Not DE"
"IDS",3.90886383685946e-06,0.3986503995606,0.0102404960856986,-0.25264220590087,"Not DE"
"PRSS3",4.25248154822708e-180,-4.23589389121744,0.0190645583643079,-0.347210602864463,"DE (down) in both"
"ZNF200",0.0125320556273312,0.477118476994721,0.455429339480078,0.326654547105796,"DE (up) in MLH1"
"CD4",NA,-2.10118069864724,NA,1.76050148249161,"Not DE"
"LRRC23",0.642799327441629,-0.473923637996707,0.931244025427575,-0.19454991765109,"Not DE"
"BTK",NA,-2.56009863748947,NA,1.10950546220796,"Not DE"
"HFE",1.06562133895468e-07,1.00677307334356,0.969082201739923,-0.0313880627797424,"DE (up) in MLH1"
"SCMH1",0.247794445287623,-0.211011347668414,0.265880157982635,-0.383120169842072,"Not DE"
"FYN",1.79446871923333e-15,-0.895924970642887,0.00121309948052563,-0.390976380682576,"DE (down) in both"
"HIVEP2",1.30519257908673e-06,-0.391109388468963,0.149617592425275,-0.20276727894745,"DE (down) in MLH1"
"FMO1",NA,1.72516358033419,NA,NA,"Not DE"
"ELOA",0.885334788470437,-0.333929655718669,0.895937449785682,0.460961890425952,"Not DE"
"LYPLA2",1.1053380309585e-10,-0.650747463303384,0.927866824663536,0.0245635325538815,"DE (down) in MLH1"
"CLCN6",0.901033493780775,-0.0310198890535764,0.511796699522501,0.249724505030623,"Not DE"
"MRC2",0.00125008311837903,-0.416738843056724,0.0599324834078678,-0.310779233339354,"DE (down) in MLH1"
"NME1-NME2",1.33875550252349e-05,-0.920776004330665,0.987505407958144,-0.0120170594521482,"DE (down) in MLH1"
"SLC6A7",NA,1.59521346853984,NA,1.10950546220796,"Not DE"
"TSPAN9",0.0379497064148968,0.363308890574343,0.976764502082369,0.0175562910049234,"DE (up) in MLH1"
"BTBD7",NA,NA,NA,NA,"Not DE"
